Target Name,Other name,DR3,Planet ID,RA (deg),DEC (deg),dRA (mas/yr),dDEC (mas/yr),Epoch,J_mag,Number of Visits,IsAPlanet?,Period (days),P_sig,T_mid (BJD),T0_sig,T_dur (hours),T_obs (hours),T_tot (hours),VISDA Cadence,NIRDA Cadence,Priority,Program ID,Contact Person,Observational Constraints (if any),Comments,AUX Team Validated?
spec-56309-GAC088N20V2_sp05-154,,3398874703869380736,,88.38,19.61514738,1.451107326,-1.324911451,J2000,12.6,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V2_sp15-081,,3400116224296440960,,87.63,21.25718799,0.3522693948,1.357252062,J2000,12.99,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V3_sp04-113,,3398992931431880320,,88.94,19.96284631,0.3015784745,-5.002384448,J2000,11.45,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V3_sp05-132,,3398741624305636224,,88.95,19.2370871,2.593173369,-5.692662192,J2000,11.72,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V3_sp09-151,,3423148037959944320,,89.08,21.11842963,-0.2663372955,-2.60685497,J2000,11.59,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V3_sp10-095,,3399311274408270080,,86.13,19.42545769,0.9729022531,-1.896595185,J2000,11.87,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V3_sp12-104,,3423604949462822272,,90.56,21.76876843,3.10280425,-2.392589439,J2000,12.28,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V3_sp12-128,,3424055646150994816,,89.47,21.93677634,-0.0599074921,-2.231038755,J2000,12.61,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V3_sp14-206,,3399995204999449984,,86.59,20.77800029,-0.4341746535,-1.239271791,J2000,12.02,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC078N51V1_sp01-062,,261533203040814976,,77.75,49.57700572,0.8558337123,-3.271400832,J2000,12.53,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC078N51V1_sp05-046,,262379796929715712,,77.76,50.35433608,-0.06280528956,-1.604571835,J2000,13.81,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC078N51V1_sp10-181,,256650241837486848,,75.38,50.50234386,0.862437169,0.1989505252,J2000,13.03,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC078N51V2_sp02-221,,261561859059993088,,76.82,49.39210117,0.3782805318,-4.82846857,J2000,12.97,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC078N51V2_sp05-020,,261452565029368832,,78.88,49.95327837,0.4675752204,-1.727629043,J2000,14.03,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC078N51V3_sp01-043,,261321684491102208,,78.02,49.21883657,0.01353458674,0.1695976583,J2000,11.38,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC078N51V3_sp05-013,,261654286756390912,,78.3,50.09886465,-0.09157313027,-0.2539742747,J2000,12.99,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC078N51V3_sp16-082,,266079374381737344,,76.19,52.85515396,0.02415439202,-1.394183328,J2000,12.29,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC105N24B1_sp03-172,,3380804505143796352,,104.76,24.24790148,2.598592327,-1.149172083,J2000,14.15,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56310-GAC105N24V2_sp05-033,,3368118958458541952,,105.27,23.04916857,-0.2244217762,-1.720964312,J2000,13.58,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56316-GAC065N50V1_sp11-019,,271875866544138624,,64.46,52.26296895,1.071280427,-4.349532513,J2000,9.54,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56316-GAC118N03V2_sp02-064,,3087633232972288512,,117.5,1.588269445,0.7762974797,-3.506511879,J2000,9.99,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56316-GAC118N03V2_sp10-188,,3088732023050213888,,115.98,2.481953833,-7.038539367,-0.7498849915,J2000,11.34,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56316-GAC118N03V3_sp16-231,,3137798691509214336,,116.93,5.378831802,-3.454562803,-2.737899733,J2000,10.42,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56317-GAC083N57V1_sp12-237,,281933030681314688,,84.74,59.37103122,-0.09854235635,-4.288820372,J2000,11.87,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56317-VB055N28V1_sp09-062,,72049489436410752,,56.31,29.7265039,2.540819985,-5.201365374,J2000,10,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56321-GAC119S00V3_sp02-205,,3081004792768625280,,118.22,-2.661582041,-8.690035817,-0.7972564699,J2000,11.53,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56321-GAC119S00V3_sp14-106,,3085797563954366208,,117.21,0.2719779798,0.4938667002,2.834318212,J2000,9.92,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56321-VB053N32V1_sp03-214,,124557006522579968,,52.82,32.33039933,-1.134457456,-0.6344301168,J2000,10.85,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56321-VB053N32V1_sp11-078,,220785615645921536,,53.45,33.6980658,-3.006562052,-1.039226391,J2000,9.93,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56321-VB058N31V2_sp03-032,,216237279639757184,,56.77,30.8600018,0.6008642405,-2.370539051,J2000,11.08,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V1_sp03-100,,3428101367904886528,,87.72,24.15113726,1.453653986,-4.065099281,J2000,13.13,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V1_sp04-121,,3424944292066265088,,89.7,24.05774858,0.8066639151,-5.785035163,J2000,11.89,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V1_sp08-103,,3424846950925609088,,90.02,23.35807342,1.254069876,-2.604461021,J2000,12.54,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V1_sp10-116,,3427740972907444352,,86.99,23.83660469,2.459715332,-3.067120386,J2000,10.3,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V1_sp16-137,,3429134668316825856,,88.3,26.14880306,1.165761004,-3.878442491,J2000,11.88,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V2_sp09-144,,3426479279016338176,,90.47,24.6167979,-1.139443137,-4.202141341,J2000,12.08,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V2_sp09-180,,3426505323698012032,,90.61,24.77457342,0.2777837952,-2.838315582,J2000,9.22,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V2_sp11-161,,3430669797006353024,,88.77,26.4571095,0.2003164533,-2.68984891,J2000,11.14,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V2_sp14-137,,3428945728415214592,,87.37,25.1063225,0.4607232945,-1.794747437,J2000,12.12,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56322-GAC089N24V2_sp16-041,,3429196722004296192,,87.6,26.22506663,1.409950343,-2.707091543,J2000,11.55,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
